noisy,clean
input/NOISY/AIBDV003-N01.wav,input/CLEAN/AIBDV003-N01.wav
input/NOISY/AIBDV003-N02.wav,input/CLEAN/AIBDV003-N02.wav
input/NOISY/AIBDV003-N03.wav,input/CLEAN/AIBDV003-N03.wav
input/NOISY/AIBDV003-N04.wav,input/CLEAN/AIBDV003-N04.wav
input/NOISY/AIBDV003-N05.wav,input/CLEAN/AIBDV003-N05.wav
input/NOISY/AIBDV003-N06.wav,input/CLEAN/AIBDV003-N06.wav
input/NOISY/AIBDV003-N07.wav,input/CLEAN/AIBDV003-N07.wav
input/NOISY/AIBDV003-N08.wav,input/CLEAN/AIBDV003-N08.wav
input/NOISY/AIBDV003-N09.wav,input/CLEAN/AIBDV003-N09.wav
input/NOISY/AIBDV003-N10.wav,input/CLEAN/AIBDV003-N10.wav
input/NOISY/AIBDV003-N11.wav,input/CLEAN/AIBDV003-N11.wav
input/NOISY/AIBDV003-N12.wav,input/CLEAN/AIBDV003-N12.wav
input/NOISY/AIBDV003-N13.wav,input/CLEAN/AIBDV003-N13.wav
input/NOISY/AIBDV003-N14.wav,input/CLEAN/AIBDV003-N14.wav
input/NOISY/AIBDV003-N15.wav,input/CLEAN/AIBDV003-N15.wav
input/NOISY/AIBDV003-N16.wav,input/CLEAN/AIBDV003-N16.wav
input/NOISY/AIBDV003-N17.wav,input/CLEAN/AIBDV003-N17.wav
input/NOISY/AIBDV003-N18.wav,input/CLEAN/AIBDV003-N18.wav
input/NOISY/AIBDV003-N19.wav,input/CLEAN/AIBDV003-N19.wav
input/NOISY/AIBDV003-N20.wav,input/CLEAN/AIBDV003-N20.wav
input/NOISY/AIBDV003-N21.wav,input/CLEAN/AIBDV003-N21.wav
input/NOISY/AIBDV003-N22.wav,input/CLEAN/AIBDV003-N22.wav
input/NOISY/AIBDV003-N23.wav,input/CLEAN/AIBDV003-N23.wav
input/NOISY/AIBDV003-N24.wav,input/CLEAN/AIBDV003-N24.wav
input/NOISY/AIBDV003-N25.wav,input/CLEAN/AIBDV003-N25.wav
input/NOISY/AIBDV003-N26.wav,input/CLEAN/AIBDV003-N26.wav
input/NOISY/AIBDV003-N27.wav,input/CLEAN/AIBDV003-N27.wav
input/NOISY/AIBDV003-N28.wav,input/CLEAN/AIBDV003-N28.wav
input/NOISY/AIBDV003-N29.wav,input/CLEAN/AIBDV003-N29.wav
input/NOISY/AIBDV003-N30.wav,input/CLEAN/AIBDV003-N30.wav
input/NOISY/AIBDV003-N31.wav,input/CLEAN/AIBDV003-N31.wav
input/NOISY/AIBDV003-N32.wav,input/CLEAN/AIBDV003-N32.wav
input/NOISY/AIBDV003-N33.wav,input/CLEAN/AIBDV003-N33.wav
input/NOISY/AIBDV003-N34.wav,input/CLEAN/AIBDV003-N34.wav
input/NOISY/AIBDV003-N35.wav,input/CLEAN/AIBDV003-N35.wav
input/NOISY/AIBDV003-N36.wav,input/CLEAN/AIBDV003-N36.wav
input/NOISY/AIBDV003-N37.wav,input/CLEAN/AIBDV003-N37.wav
input/NOISY/AIBDV003-N38.wav,input/CLEAN/AIBDV003-N38.wav
input/NOISY/AIBDV003-N39.wav,input/CLEAN/AIBDV003-N39.wav
input/NOISY/AIBDV003-N40.wav,input/CLEAN/AIBDV003-N40.wav
input/NOISY/AIBDV003-N41.wav,input/CLEAN/AIBDV003-N41.wav
input/NOISY/AIBDV003-N42.wav,input/CLEAN/AIBDV003-N42.wav
input/NOISY/AIBDV003-N43.wav,input/CLEAN/AIBDV003-N43.wav
input/NOISY/AIBDV003-N44.wav,input/CLEAN/AIBDV003-N44.wav
input/NOISY/AIBDV003-N45.wav,input/CLEAN/AIBDV003-N45.wav
input/NOISY/AIBDV003-N46.wav,input/CLEAN/AIBDV003-N46.wav
input/NOISY/AIBDV003-N47.wav,input/CLEAN/AIBDV003-N47.wav
input/NOISY/AIBDV004-N01.wav,input/CLEAN/AIBDV004-N01.wav
input/NOISY/AIBDV004-N02.wav,input/CLEAN/AIBDV004-N02.wav
input/NOISY/AIBDV004-N03.wav,input/CLEAN/AIBDV004-N03.wav
input/NOISY/AIBDV004-N04.wav,input/CLEAN/AIBDV004-N04.wav
input/NOISY/AIBDV004-N05.wav,input/CLEAN/AIBDV004-N05.wav
input/NOISY/AIBDV004-N06.wav,input/CLEAN/AIBDV004-N06.wav
input/NOISY/AIBDV004-N07.wav,input/CLEAN/AIBDV004-N07.wav
input/NOISY/AIBDV004-N08.wav,input/CLEAN/AIBDV004-N08.wav
input/NOISY/AIBDV004-N09.wav,input/CLEAN/AIBDV004-N09.wav
input/NOISY/AIBDV004-N10.wav,input/CLEAN/AIBDV004-N10.wav
input/NOISY/AIBDV004-N11.wav,input/CLEAN/AIBDV004-N11.wav
input/NOISY/AIBDV004-N12.wav,input/CLEAN/AIBDV004-N12.wav
input/NOISY/AIBDV004-N13.wav,input/CLEAN/AIBDV004-N13.wav
input/NOISY/AIBDV004-N14.wav,input/CLEAN/AIBDV004-N14.wav
input/NOISY/AIBDV004-N15.wav,input/CLEAN/AIBDV004-N15.wav
input/NOISY/AIBDV004-N16.wav,input/CLEAN/AIBDV004-N16.wav
input/NOISY/AIBDV004-N17.wav,input/CLEAN/AIBDV004-N17.wav
input/NOISY/AIBDV004-N18.wav,input/CLEAN/AIBDV004-N18.wav
input/NOISY/AIBDV004-N19.wav,input/CLEAN/AIBDV004-N19.wav
input/NOISY/AIBDV004-N20.wav,input/CLEAN/AIBDV004-N20.wav
input/NOISY/AIBDV004-N21.wav,input/CLEAN/AIBDV004-N21.wav
input/NOISY/AIBDV004-N22.wav,input/CLEAN/AIBDV004-N22.wav
input/NOISY/AIBDV004-N23.wav,input/CLEAN/AIBDV004-N23.wav
input/NOISY/AIBDV004-N24.wav,input/CLEAN/AIBDV004-N24.wav
input/NOISY/AIBDV004-N25.wav,input/CLEAN/AIBDV004-N25.wav
input/NOISY/AIBDV004-N26.wav,input/CLEAN/AIBDV004-N26.wav
input/NOISY/AIBDV004-N27.wav,input/CLEAN/AIBDV004-N27.wav
input/NOISY/AIBDV004-N28.wav,input/CLEAN/AIBDV004-N28.wav
input/NOISY/AIBDV004-N29.wav,input/CLEAN/AIBDV004-N29.wav
input/NOISY/AIBDV004-N30.wav,input/CLEAN/AIBDV004-N30.wav
input/NOISY/AIBDV004-N31.wav,input/CLEAN/AIBDV004-N31.wav
input/NOISY/AIBDV004-N32.wav,input/CLEAN/AIBDV004-N32.wav
input/NOISY/AIBDV004-N33.wav,input/CLEAN/AIBDV004-N33.wav
input/NOISY/AIBDV004-N34.wav,input/CLEAN/AIBDV004-N34.wav
input/NOISY/AIBDV004-N35.wav,input/CLEAN/AIBDV004-N35.wav
input/NOISY/AIBDV004-N36.wav,input/CLEAN/AIBDV004-N36.wav
input/NOISY/AIBDV004-N37.wav,input/CLEAN/AIBDV004-N37.wav
input/NOISY/AIBDV004-N38.wav,input/CLEAN/AIBDV004-N38.wav
input/NOISY/AIBDV004-N39.wav,input/CLEAN/AIBDV004-N39.wav
input/NOISY/AIBDV004-N40.wav,input/CLEAN/AIBDV004-N40.wav
input/NOISY/AIBDV004-N41.wav,input/CLEAN/AIBDV004-N41.wav
input/NOISY/AIBDV004-N42.wav,input/CLEAN/AIBDV004-N42.wav
input/NOISY/AIBDV004-N43.wav,input/CLEAN/AIBDV004-N43.wav
input/NOISY/AIBDV004-N44.wav,input/CLEAN/AIBDV004-N44.wav
input/NOISY/AIBDV004-N45.wav,input/CLEAN/AIBDV004-N45.wav
input/NOISY/AIBDV004-N46.wav,input/CLEAN/AIBDV004-N46.wav
input/NOISY/AIBDV004-N47.wav,input/CLEAN/AIBDV004-N47.wav
input/NOISY/AIBDV005-N01.wav,input/CLEAN/AIBDV005-N01.wav
input/NOISY/AIBDV005-N02.wav,input/CLEAN/AIBDV005-N02.wav
input/NOISY/AIBDV005-N03.wav,input/CLEAN/AIBDV005-N03.wav
input/NOISY/AIBDV005-N04.wav,input/CLEAN/AIBDV005-N04.wav
input/NOISY/AIBDV005-N05.wav,input/CLEAN/AIBDV005-N05.wav
input/NOISY/AIBDV005-N06.wav,input/CLEAN/AIBDV005-N06.wav
input/NOISY/AIBDV005-N07.wav,input/CLEAN/AIBDV005-N07.wav
input/NOISY/AIBDV005-N08.wav,input/CLEAN/AIBDV005-N08.wav
input/NOISY/AIBDV005-N09.wav,input/CLEAN/AIBDV005-N09.wav
input/NOISY/AIBDV005-N10.wav,input/CLEAN/AIBDV005-N10.wav
input/NOISY/AIBDV005-N11.wav,input/CLEAN/AIBDV005-N11.wav
