model,checkpoint,pesq,stoi,f0_rmse_mean_hz
MP-SENet,1,3.425,0.967,12.18
MP-SENet,2,3.450,0.969,11.15
MP-SENet,3,3.511,0.968,9.27
MP-SENet,4,3.504,0.970,10.23
MP-SENet,5,3.528,0.970,12.30
MP-SENet,6,3.550,0.970,10.51
MP-SENet,7,3.519,0.970,12.98
MP-SENet,8,3.527,0.970,9.39
MP-SENet,9,3.546,0.969,10.51
MP-SENet,10,3.547,0.971,10.80
MP-SENet,11,3.583,0.969,9.13
MP-SENet,12,3.566,0.970,10.45
MP-SENet,13,3.563,0.971,11.63
MP-SENet,14,3.547,0.971,11.89
MP-SENet,15,3.577,0.970,12.67
MP-SENet,16,3.583,0.970,10.96
MP-SENet,17,3.567,0.969,10.90
MP-SENet,18,3.575,0.970,10.66
MP-SENet,19,3.611,0.971,11.27
MP-SENet,20,3.584,0.971,11.83
CMGAN,1,3.162,0.957,20.23
CMGAN,2,3.206,0.959,19.98
CMGAN,3,3.232,0.960,17.88
CMGAN,4,3.297,0.959,20.28
CMGAN,5,3.302,0.960,17.95
CMGAN,6,3.320,0.961,18.73
CMGAN,7,3.367,0.962,18.39
CMGAN,8,3.380,0.962,18.79
CMGAN,9,3.403,0.963,17.80
CMGAN,10,3.368,0.962,19.64
CMGAN,11,3.396,0.963,16.56
CMGAN,12,3.398,0.964,17.15
CMGAN,13,3.389,0.964,15.93
CMGAN,14,3.417,0.964,17.30
CMGAN,15,3.415,0.964,16.96
CMGAN,16,3.423,0.964,18.10
CMGAN,17,3.415,0.964,15.22
CMGAN,18,3.365,0.964,15.73
CMGAN,19,3.399,0.965,15.84
CMGAN,20,3.393,0.965,15.27
